Manufacturer,Series,Focal Length,T-Stop,Prime / Zoom / Special,Format,Mount,Anamorphic / Spherical,Anamorphic Squeeze Factor,Anamorphic Location,Housing,Front Diameter (mm),Close Focus,Length (in),Film Compatibility,Image Circle (mm),Iris Blade Count,Extender,LDS,i/Data,Support Recommended,Support Post Length (mm),Weight (lbs),Manufacture Year,Expander,Heden Motor Size,Size,Notes,Use Case,Look,Bokeh,Flare,Focus Falloff,Breathing,Focus Scale
zeiss,mark ii original housing,25,1.3,prime,,pl,spherical,,,,80,10,2.4 - 2.75,35mm ok,36.5,7,,no,,,,2,,no,,,mark ii/iii / telescoping,,,,,,,
zeiss,(uncoated specs are the same),35,1.3,prime,,pl,spherical,,,,80,1 3,2.4 - 2.8,35mm ok,37,7,,no,,,,1.8,,no,,,mark ii/iii / telescoping,,,,,,,
zeiss,(uncoated specs are the same),50,1.3,prime,,pl,spherical,,,,80,2 6,2.4 - 2.9,35mm ok,41,7,,no,,,,1.8,,no,,,mark ii/iii / telescoping,,,,,,,
zeiss,(uncoated specs are the same),65,1.3,prime,,pl,spherical,,,,80,2 6,2.12 - 3.12,35mm ok,42,7,"ibe 1.4x, ibe 2x",no,,,,2.2,,,,,mark ii/iii / telescoping,,,,,,,
zeiss,(uncoated specs are the same),85,1.3,prime,,pl,spherical,,,,80,3,2.8 - 3.5,35mm ok,43,7,"ibe 1.4x, ibe 2x, ang 1.4x, ang 2x",no,,,,2.2,,,,,mark ii/iii / telescoping,,,,,,,
zeiss,super speed (t1.4),18,1.4,prime,,pl / b,spherical,,,,80,10,3.6,35mm ok,34,9,,no,,,,2.2,,,,,mark i,,,,,,,
zeiss,mark i original housing,25,1.4,prime,,pl / b,spherical,,,,73,10,2.4 - 2.6,35mm ok,36 clear / 38 with falloff,9,,no,,,,1.4,,,,,mark i / telescoping,,,,,,,
zeiss,mark i original housing,32,2.2,prime,,pl / b,spherical,,,,51,2,0.9 - 1,35mm ok,25 clear / 32 with falloff,8,,no,,,,0.6,,,,,mark i / rotating front / telescoping,,,,,,,
zeiss,mark i original housing,35,1.4,prime,,pl / b,spherical,,,,73,15,2.4 - 2.7,35mm ok,37 clear / 39 with falloff,9,ibe 1.4x,no,,,,1.2,,,,,mark i / telescoping,,,,,,,
zeiss,mark i original housing,50,1.4,prime,,pl / b,spherical,,,,73,2 6,2 - 2.2,35mm ok,37 clear / 40 with falloff,9,ibe 1.4x,no,,,,1,,,,,mark i / telescoping,,,,,,,
zeiss,mark i original housing,85,1.4,prime,,pl / b,spherical,,,,73,3 6,2.25 - 2.6,35mm ok,41 clear / 43 with falloff,9,"ibe 1.4x, ibe 2x",no,,,,1.4,,,,,mark i / telescoping,,,,,,,
zeiss,super speed (t1.4),16,2.1 (+2/3 at cf),prime,,pl,spherical,,,,80,6,2.2,35mm ok,24 clear / 29 with falloff,6,,no,,,,2.5,,no,,,"macro, auto exposure compensation",,,,,,,
zeiss,super speed (t1.4),24,2.1 (+2/3 at cf),prime,,pl,spherical,,,,80,7,2.12,35mm ok,30 clear / 32 with falloff,6,,no,,,,1.8,,no,,,"macro, auto exposure compensation",,,,,,,
zeiss,super speed (t1.4),32,2.1 (+2/3 at cf),prime,,pl,spherical,,,,80,9,2.12,35mm ok,31,5,,no,,,,1.6,,no,,,"macro, auto exposure compensation",,,,,,,
