,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,Focal Length
,,24mm,1.3,"10""",5.5 lbs,"7.9""",110mm,PL,,,,,,No,N/A,,Vintage / Not currently in inventory,,,,,,,,
,,28mm,1.3,"20""",4.8 lbs,"7.1""",110mm,PL,,,,,,No,N/A,,Vintage / Not currently in inventory,,,,,,,,
,,35mm,1.3,"20""",4.4 lbs,"5.9""",110mm,PL,,,,,,No,N/A,,Vintage / Not currently in inventory,,,,,,,,
,,50mm,1.3,"2' 4""",4 lbs,"5.9""",110mm,PL,,,,,,No,N/A,,Vintage / Not currently in inventory,,,,,,,,
,,75mm,1.3,"3' 4""",4.3 lbs,"5.9""",110mm,PL,,,,,,No,N/A,,Vintage / Not currently in inventory,,,,,,,,
,,100mm,1.6,4',4.6 lbs,"5.9""",110mm,PL,,,,,,No,N/A,,Vintage / Not currently in inventory,,,,,,,,
,,135mm,1.9,5',4 lbs,"7.1""",110mm,PL,,,,,,No,,,Vintage / Not currently in inventory,,,,,,,,
,,200mm,3,"6' 7""",6.6 lbs,"8.5""",110mm,PL,,,,,,No,,,Vintage / Not currently in inventory,,,,,,,,
,,300mm,3,10',13.9 lbs,"14""",110mm,PL,,,,,,No,,,Vintage / Not currently in inventory,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,
RED,Pro Prime,18mm,1.8,"13""",6.3 lbs,"6.2""",110mm,PL,33mm,NO,7,IBE 2X,,No,N/A,,Not currently in inventory,,,,,,,,
,,25mm,1.8,"12""",6.1 lbs,"6.2""",110mm,PL,33mm,NO,7,"IBE 2X, Ang 2X, Optex 2X",,No,N/A,,Not currently in inventory,,,,,,,,
,,35mm,1.8,"12""",6 lbs,"6.2""",110mm,PL,35mm,NO,7,"IBE 2X, Ang 2X, Optex 2X",,No,N/A,,Not currently in inventory,,,,,,,,
,,50mm,1.8,"12""",4.5 lbs,"4.7""",110mm,PL,41mm,NO,7,"IBE 2X, Ang 2X",,No,N/A,,Not currently in inventory,,,,,,,,
,,85mm,1.8,"24""",4.2 lbs,"4.75""",110mm,PL,43mm,NO,7,"IBE 2X, Ang 2X, Optex 2X",,No,N/A,,Not currently in inventory,,,,,,,,
,,100mm,1.8,"30""",4.4 lbs,"4.75""",110mm,PL,43mm,NO,7,"IBE 2X, Ang 2X",,No,N/A,,Not currently in inventory,,,,,,,,
,,300mm,2.9,8',5.7 lbs,,117.4mm,PL,,NO,,,,,,,Not currently in inventory,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,
Schneider,Cine-Xenar III,18mm,2.2,"11""",4.5 lbs,"6""",104mm,PL / EF,31.5mm,,18,,,No,N/A,,,,,,,,,,
,,25mm,2.2,"11""",4.2 lbs,"6""",104mm,PL / EF,31.5mm,,18,,,No,N/A,,,,,,,,,,
,,35mm,2.1,"13""",4 lbs,"6""",104mm,PL / EF,31.5mm,,18,,,No,N/A,,,,,,,,,,
,,50mm,2,"14""",3.5 lbs,"6""",104mm,PL / EF,31.5mm,,18,,,No,N/A,,,,,,,,,,
,,75mm,2,"18""",3.7 lbs,"6""",104mm,PL / EF,31.5mm,,18,,,No,N/A,,,,,,,,,,
,,95mm,2,"26""",4 lbs,"6""",104mm,PL / EF,31.5mm,,18,,,No,N/A,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,
Sony,CineAlta Primes,20mm,2,"10""",4.8 lbs,"4.75""",114mm,PL,35mm,,9,"IBE 1.4X, IBE 2X",,No,N/A,,Not currently in inventory,,,,,,,,
,,25mm,2,"10""",4.8 lbs,"4.75""",114mm,PL,35mm,,9,"IBE 1.4X, IBE 2X",,No,N/A,,Not currently in inventory,,,,,,,,
,,35mm,2,"14""",4.2 lbs,"4.75""",114mm,PL,38mm,,9,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex, 2X, Century 2X",,No,N/A,,Not currently in inventory,,,,,,,,
,,50mm,2,"19""",4 lbs,"4.75""",114mm,PL,40mm,,9,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex, 2X, Century 2X",,No,N/A,,Not currently in inventory,,,,,,,,
,,85mm,2,"34""",4 lbs,"4.75""",114mm,PL,40mm clear / 43mm with falloff,,9,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex, 2X, Century 2X",,No,N/A,,Not currently in inventory,,,,,,,,
,,135mm,2,"34""",5 lbs,"5.75""",114mm,PL,41mm clear / 43mm with falloff,,9,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex, 2X, Century 2X",,No,N/A,,Not currently in inventory,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,
Technovision,Zeiss Standard Speed,12mm,2.1,"8""",3.6 lbs,"3.6""",156mm,PL,29mm,35mm OK,6,None,,No,N/A,,"w/ Technovision Front, Modified 16mm Standard Speed",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,
Vantage,Mini Hawk,35mm,1.7,"12""",4.4 lbs,"5.4""",110mm,PL,29mm clear / 30mm with falloff,,Oval iris,"IBE 1.4X, IBE 2X",1.7x Duclos (T4 or deeper),No,N/A,,"Works with Duclos Expander, but requires lens to be shot at T4 or deeper in order to reduce optical abberation.",,,,,,,,
,,40mm,1.7,"12""",4 lbs,"5.7""",110mm,PL,30mm clear / 32mm with falloff,,Oval iris,"IBE 1.4X, IBE 2X",1.7x Duclos (T4 or deeper),No,N/A,,"Works with Duclos Expander, but requires lens to be shot at T4 or deeper in order to reduce optical abberation.",,,,,,,,
,,50mm,1.7,"10""",3.3 lbs,"5.1""",110mm,PL,32mm clear / 33mm with fall of ,,Oval iris,"IBE 1.4X, IBE 2X",1.7x Duclos (T4 or deeper),No,N/A,,"Works with Duclos Expander, but requires lens to be shot at T4 or deeper in order to reduce optical abberation.",,,,,,,,
,,65mm,1.7,"10""",4 lbs,"4.5""",110mm,PL,35mm,,Oval iris,"IBE 1.4X, IBE 2X",1.7x Duclos (T4 or deeper),No,N/A,,"Works with Duclos Expander, but requires lens to be shot at T4 or deeper in order to reduce optical abberation.",,,,,,,,
